aspecto,ayuno,flexible,keto,mediterranea,paleo,vegana
adherencia,-0.2157303370786517,-0.03225806451612902,-0.1842105263157895,0.09090909090909091,-0.35294117647058826,-0.16049382716049382
costo,-0.47058823529411764,-0.11764705882352941,-0.23076923076923078,0.0,-0.5,0.0
energía,-0.19642857142857145,-0.25,-0.33070866141732286,0.0,-0.25,-0.10714285714285712
hambre,-0.40492957746478875,-0.75,-0.46,0.0,-0.3333333333333333,-0.6
social,-0.21476510067114093,-0.175,-0.2823529411764706,0.0,-0.6,-0.2444444444444444
