,neg,neu,pos,accuracy,macro avg,weighted avg
precision,0.6241787122207622,0.933143264433357,0.7962382445141066,0.8912172220313752,0.7845200737227419,0.8899965617306979
recall,0.6410256410256411,0.9470486111111112,0.7055555555555556,0.8912172220313752,0.7645432692307693,0.8912172220313752
f1-score,0.6324900133155792,0.9400445178430387,0.748159057437408,0.8912172220313752,0.7735645295320085,0.8902180910603833
support,741.0,6912.0,1080.0,0.8912172220313752,8733.0,8733.0
