,neg,neu,pos,accuracy,macro avg,weighted avg
precision,0.811623246492986,0.9331841909023117,0.9514315411509023,0.9306160547604232,0.8987463261820667,0.9310235293244038
recall,0.8446298227320125,0.9105064027939465,0.9595006670478369,0.9306160547604232,0.9048789641912652,0.9306160547604232
f1-score,0.8277976494634645,0.9217058260293143,0.9554490677041325,0.9306160547604232,0.9016508477323036,0.9307281085164665
support,1918.0,6872.0,10494.0,0.9306160547604232,19284.0,19284.0
